Solute,Solvent,Temp,LogS,Predicted_LogS,Abs_Error,Signed_Error
CSCCC(NC(C)=O)C(=O)O,ClCCl,323,-4.455039,-0.374732,4.080306,
NC(Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O,ClCCCl,273,-7.545454,-3.500016,4.045439,
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,CCCCCCCCO,293,-5.456872,-2.100942,3.35593,
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CCCCCC,298,-5.434322,-2.339534,3.094788,
O=[N+]([O-])c1ccc(S(=O)(=O)Nc2nccs2)cc1,CCCCCCCCO,298,0.710288,-2.353743,3.064032,
O=S(=O)(Nc1ccc(Cl)cc1)c1ccccc1,CCCCCC,298,-4.982357,-2.044073,2.938284,
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,CCCCCC,328,-4.179435,-1.249281,2.930154,
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,CCCCCCCCO,293,-4.859672,-2.052398,2.807275,
Cc1ccc(N=C2NCCC3(CCCCC3)S2)cc1Cl,CCCCCC,293,-4.181674,-1.504961,2.676713,
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,CCCCCCCCO,293,-5.23488,-2.718035,2.516846,
COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,OCCO,283,-2.638324971532300,-2.6482644472692700,0.009939475736964190,-0.009939475736964190
Nc1ccc(O)c(C(=O)O)c1,ClC(Cl)(Cl)Cl,293,-1.522155417067680,-1.5088144164721200,0.013341000595558300,0.013341000595558300
O=P12OCC(CO)(CO1)CO2,CCCOCC(C)O,313,-1.4017152775520100,-1.387430195374020,0.014285082177983900,0.014285082177983900
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,CC(C)CCO,323,-1.136566006048140,-1.143800080160250,0.00723407411210486,-0.00723407411210486
C=CC(=O)NC(C)(C)C,ClCCl,291,-0.8216257659354430,-0.8311269306365060,0.009501164701063100,-0.009501164701063100
O=C(Nc1ccccc1)c1ccccc1,ClCCl,308,-0.6388014134784640,-0.6465244928404160,0.0077230793619519300,-0.0077230793619519300
O=C(O)CCC(=O)O,CC(=O)O,304,-0.5698082131623260,-0.5611943582206600,0.008613854941665780,0.008613854941665780
O=C(O)c1ccccc1,CCCCCCCC,343,-0.3000158284269140,-0.28700481046302200,0.013011017963892300,0.013011017963892300
O=C(O)Cc1ccc([N+](=O)[O-])cc1,CC(=O)N(C)C,283,-0.0173057080789779,-0.025945578043999200,0.008639869965021320,-0.008639869965021320
CCCCCCCCCCCCCCCc1cccc(O)c1,ClC(Cl)(Cl)Cl,293,0.1088851142626430,0.11357471764898700,0.004689603386344150,0.004689603386344150
