Name,LogDis-0,LogDis-5,LogDis-10,LogDis-20,LogDis-30,LogDis-40,LogDis-50
Rand,0.083/1.464,0.083/1.464,0.083/1.464,0.083/1.464,0.083/1.464,0.083/1.464,0.083/1.464
LRU,0.040/1.533,0.040/1.533,0.040/1.533,0.040/1.533,0.040/1.533,0.040/1.533,0.040/1.533
Marker,0.048/1.521,0.048/1.521,0.048/1.521,0.048/1.521,0.048/1.521,0.048/1.521,0.048/1.521
OnlineMin,0.088/1.457,0.088/1.457,0.088/1.457,0.088/1.457,0.088/1.457,0.088/1.457,0.088/1.457
Predict[Belady],0.374/1.000,0.343/1.050,0.323/1.081,0.311/1.101,0.307/1.107,0.304/1.112,0.301/1.116
PredMark[Belady],0.089/1.455,0.072/1.482,0.065/1.493,0.062/1.499,0.061/1.500,0.060/1.502,0.060/1.502
LMarker[Belady],0.089/1.455,0.071/1.484,0.063/1.496,0.060/1.501,0.059/1.503,0.059/1.503,0.058/1.504
LNonMarker[Belady],0.090/1.454,0.080/1.469,0.075/1.477,0.073/1.481,0.072/1.483,0.071/1.484,0.070/1.485
FollowerRobust[OracleState],0.374/1.000,0.122/1.402,0.101/1.437,0.089/1.454,0.085/1.461,0.085/1.462,0.084/1.464
PredictiveOnlineMin[Belady]-msf-100,0.374/1.000,0.215/1.253,0.172/1.322,0.153/1.353,0.142/1.370,0.138/1.377,0.137/1.379
RPB-OnlineMin[Belady]-msf-100-pb-0,0.374/1.000,0.216/1.252,0.173/1.321,0.151/1.356,0.143/1.369,0.139/1.376,0.136/1.380
RPB-OnlineMin[Belady]-msf-100-pb-1,0.374/1.000,0.255/1.190,0.213/1.258,0.190/1.295,0.181/1.308,0.179/1.311,0.177/1.315
RPB-OnlineMin[Belady]-msf-100-pb-2,0.374/1.000,0.264/1.176,0.225/1.238,0.203/1.273,0.195/1.286,0.192/1.290,0.189/1.295
RPB-OnlineMin[Belady]-msf-100-pb-4,0.374/1.000,0.265/1.175,0.230/1.230,0.210/1.262,0.202/1.274,0.198/1.281,0.198/1.281
RPB-OnlineMin[Belady]-msf-100-pb-5,0.374/1.000,0.266/1.173,0.230/1.230,0.210/1.261,0.203/1.273,0.201/1.277,0.198/1.281
RPB-OnlineMin[Belady]-msf-100-pb-10,0.374/1.000,0.265/1.174,0.230/1.229,0.210/1.261,0.203/1.272,0.200/1.278,0.197/1.282
RPB-OnlineMin[Belady]-msf-100-pb-20,0.374/1.000,0.265/1.174,0.230/1.231,0.210/1.261,0.203/1.273,0.201/1.276,0.198/1.281
RPB-OnlineMin[Belady]-msf-100-pb-50,0.374/1.000,0.265/1.175,0.230/1.230,0.211/1.260,0.204/1.271,0.200/1.278,0.197/1.283
RPB-OnlineMin[Belady]-msf-100-pb-100,0.374/1.000,0.265/1.175,0.231/1.228,0.210/1.262,0.204/1.272,0.200/1.278,0.198/1.281
RPB-OnlineMin[Belady]-msf-100-pb-200,0.374/1.000,0.266/1.173,0.232/1.226,0.211/1.260,0.203/1.274,0.201/1.277,0.197/1.282
RPB-OnlineMin[Belady]-msf-100-pb-500,0.374/1.000,0.266/1.173,0.232/1.228,0.211/1.260,0.203/1.274,0.201/1.277,0.198/1.281
RPB-OnlineMin[Belady]-msf-100-pb-1000,0.374/1.000,0.265/1.174,0.231/1.229,0.211/1.260,0.204/1.271,0.200/1.277,0.199/1.279
"CombDet[Predict[Belady], LRU]",0.374/1.000,0.342/1.051,0.324/1.080,0.310/1.102,0.306/1.109,0.303/1.113,0.302/1.115
"CombineRandom[Predict[Belady], LRU]",0.374/1.000,0.341/1.052,0.323/1.082,0.310/1.101,0.304/1.112,0.303/1.113,0.297/1.122
