0x401a83,0x28e837c85a83
0x401ea1,0xfdfd3a8c7230
0x401e73,0xfdfd3a8cb3a0
0x401eb9,0xfdfd3a8c6598
0x401da0,0xfdfd3a8c7280
0x401e47,0xfdfd3a8cc1d0
0x401da0,0xfdfd3a8c7a00
0x401ea1,0xfdfd3a8c7cd0
0x401e1b,0xfdfd3a8cd780
0x401ed1,0xfdfd3a8c7c40
0x401804,0xfdfd3a8ce828
0x401e5d,0xfdfd3a8d1378
0x401e47,0xfdfd3a8ccdb0
0x401ea1,0xfdfd3a8d5130
0x401e89,0xfdfd3a8d25c8
0x401ea1,0xfdfd3a8d5270
0x401e31,0xfdfd3a8d3568
0x401705,0x28e837c85705
0x40177c,0xfdfd3a8d4700
0x401d54,0xfdfd3a8d9108
0x401dc9,0xfdfd3a8d0fa8
0x401e5d,0xfdfd3a8d1e18
0x401e89,0xfdfd3a8d2e88
0x401d8b,0xfdfd3a8d2ed8
0x401e47,0xfdfd3a8d6c10
0x401804,0xfdfd3a8d89a8
0x401d8b,0xfdfd3a8dc518
0x401e47,0xfdfd3a8e01b0
0x401804,0xfdfd3a8d8fe8
0x401d35,0xfdfd3a8e10e0
0x401e06,0xfdfd3a8e11b8
0x401e5d,0xfdfd3a8dbdb8
0x401dc9,0x98f5690d5128
0x401dc9,0x98f5690d5268
0x401d54,0xa21321898c8
0x401e06,0xfdfd3a8e1c58
0x401d35,0xfdfd3a8c3120
0x401e5d,0x98f5690d6c18
0x401e31,0x98f5690d89a8
0x401da0,0xfdfd3a8c98e0
0x401dc9,0x98f5690dc528
0x401e31,0x98f5690d8fe8
0x401d54,0xfdfd3a8c47c8
0x401e5d,0xfdfd3a8c6398
0x401e73,0x98f5690d9fa0
0x40185c,0x98f5690dbd80
0x40182a,0x98f5690dbf40
0x401ea1,0xfdfd3a8cc650
0x401e89,0xfdfd3a8c8b88
0x401dc9,0x98f5690e01a8
0x401e31,0x98f5690ddc68
0x401e89,0xfdfd3a8d31c8
0x401e31,0x98f5690e10c8
0x401e47,0x98f5690ded70
0x401cfb,0x98f5690e08f8
0x401cfb,0x98f5690e0998
0x4017d0,0xfdfd3a8d6410
0x401cfb,0x98f5690e0d58
0x40187e,0x98f5690e3100
0x401ed1,0xfdfd3a8d6740
0x401e89,0xfdfd3a8d3d08
0x401e47,0x98f5690e2770
0x401e31,0x98f5690e5108
0x401cfb,0x98f5690e47f8
0x401e06,0xfdfd3a8d9f98
