"Model_Name","Theta_WLE","SE"
"Sao10K/Ana-v1-m7",-0.174166792179848,0.286845225222755
"AbacusResearch/Jallabi-34B",-0.853373703826452,0.248170373678421
"rwitz/experiment26-SPIN-iter-0",1.43480288345496,0.36473127186495
"NeverSleep/Llama-3-Lumimaid-8B-v0.1-OAS",-1.24149938619567,0.252372299973779
"beberik/rawr",0.00203390577893954,0.262382874270839
"Yuma42/KangalKhan-Beta-Ruby-7B",0.145685165079493,0.242254191206525
"shyamieee/J4RVIZ-v5.0",1.43480288345496,0.36473127186495
"jeiku/Average_Normie_l3_v1_8B",0.273944374833814,0.41169942581154
"abacusai/Smaugv0.1",0.248759792308007,0.303077112056262
"Changgil/K2S3-Mistral-7b-v1.42",-0.244475535956269,0.284508831476341
"FelixChao/Capricorn-7B",1.4960300232903,0.381271012354581
"BFauber/lora_llama2-7b_10e5",-1.87878321140414,0.246518257277739
"Undi95/Llama-3-Unholy-8B",-1.37980817253041,0.255624240628481
"yam-peleg/Experiment19-7B",1.36632892403399,0.343052896188005
"Mihaiii/Bucharest-0.1",-0.230246904965413,0.284376476219447
"maywell/kiqu-70b",0.435400365721992,0.257398998403238
"NLUHOPOE/Mistral-7B-random-100000",-1.49991869956614,0.27454787948635
"MaziyarPanahi/Llama-3-8B-Instruct-v0.8",-0.58674194660431,0.358229761737473
"AA051615/A0304",-0.742591088512435,0.286601112413019
"Eric111/Mayo",0.275766734383395,0.262823381087117
"udkai/Garrulus",1.16288783388141,0.287455964308518
"Cesco2004/TW3CESCO.V3",1.87151519054043,0.480915047476011
"Jaume/openchat-3.5-0106-mod-gpt5",-0.464500777946228,0.275062289233738
"ResplendentAI/Luna-2x7B-MoE",0.702959675604091,0.247824186532845
"gmonsoon/OpenMia-Indo-Mistral-7b-v3-refined",0.0384249306098963,0.265446041129076
"HuggingFaceH4/mistral-7b-grok",-0.317041871535823,0.219028423257409
"Praneeth/StarMix-7B-slerp",-0.0834720814395267,0.259837106325376
"ddyuudd/mistral_dmbr03_32_sig",-0.210772589930105,0.263954281760055
"alvarobartt/mistral-7b-orpo-alignment-handbook",-0.0716095799745644,0.287115034419084
"allknowingroger/MistralMerge-7B-stock",-1.31829437242303,0.267315757356239
"kyujinpy/Sakura-SOLRCA-Math-Instruct-DPO-v1",0.437216834663725,0.295166458511833
"lightblue/suzume-llama-3-8B-multilingual",-1.41140320781259,0.268762602640663
"saucam/Skyro-4X8B",-0.989995147739425,0.276223531561296
"Azazelle/Yuna-7b-Merge",0.473600741619331,0.209816763537853
"mvpmaster/Einstein-4D-MoE-2x7b-test",0.563359754722573,0.209599705804259
"one-man-army/UNA-34Beagles-32K-bf16-v1",0.698138619393943,0.251703697267885
"openagi-project/OpenAGI-7B-v0.1",0.368296613651559,0.222111506862155
"Locutusque/llama-3-neural-chat-v1-8b",-0.698283855958021,0.287975560896418
"ZhangShenao/0.0_ablation_sample1_4iters_bs256_iter_1",-0.140391160593903,0.279300185636097
"tyson0420/stack_llama-clang",-1.86782788517664,0.253366997108655
"cloudyu/Mixtral_7Bx6_MoE_35B",0.552891595340626,0.309033734484432
"localfultonextractor/Erosumika-7B",0.59425995124892,0.192635421483205
"abhishek/autotrain-mixtral-8x7b-orpo-v1",0.161752904911858,0.26844306085104
"leveldevai/MarcDareBeagle-7B",1.43480288345496,0.36473127186495
"yunconglong/Truthful_DPO_TomGrc_FusionNet_7Bx2_MoE_13B",1.04902954248952,0.259438434625392
"juhwanlee/gemma-7B-alpaca-case-1-2",-0.560202907233879,0.28885229550602
"macadeliccc/polyglot-math-4x7b",0.116261913069434,0.328659072554894
"DrNicefellow/ChatAllInOne-Yi-34B-200K-V1",-0.375724983895928,0.309723318666835
"AIDC-ai-business/Marcoroni-7B-v2",0.264886194468028,0.241458293850004
"Danielbrdz/Barcenas-Llama3-8b-ORPO",-0.691809011705803,0.32244983788563
