"Model_Name","Theta_WLE","SE"
"dddsaty/SOLAR-Instruct-ko-Adapter-Attach",0.416705667533767,0.150331862916344
"SF-Foundation/TextBase-v0.2",1.20893733500569,0.203767855623706
"ZHLiu627/zephyr-gemma-rpo",-0.0088278016904054,0.141991552467578
"feidfoe/Metamath-reproduce-7b",0.371538550146351,0.147625554201538
"cstr/llama3-8b-spaetzle-v20",0.696296242651902,0.168901747366911
"Yuma42/KangalKhan-Ruby-7B",0.390093786386671,0.149032548842883
"Voicelab/trurl-2-13b-academic",-1.99726741798669,0.226592855327214
"Kukedlc/NeuralKuke-4-All-7b",1.28796392886344,0.200840945138729
"AbacusResearch/Jallabi-34B",0.221067228809419,0.14337844505008
"Qwen/Qwen2-beta-14B",0.616741048064248,0.161818052172568
"mncai/yi-34B-v2",0.691213694593937,0.166512595282719
"l3utterfly/phi-2-layla-v1",0.0756952627442576,0.140449215655888
"JCX-kcuf/Mistral-7B-v0.1-gpt-4-60k",-0.581226276677559,0.139752822172935
"MiniMoog/Mergerix-7b-v0.1",1.07926889263361,0.199277755948497
"nlpguy/ColorShadow-7B-v2",-0.245557661210553,0.140615812160846
"eduagarcia/mistral-orpo-mix-21k",-0.388526030488214,0.142568050662388
"sonthenguyen/NeuralHermes-2.5-Mistral-7B",-0.341468180792578,0.143123819299031
"MaziyarPanahi/Calme-4x7B-MoE-v0.2",1.06206777056476,0.198314698470692
"huseyinatahaninan/phi-2-instruction",0.0529149653674565,0.140117122664321
"macadeliccc/MBX-7B-v3-DPO",1.08855093212159,0.200081401886771
"mlabonne/ChimeraLlama-3-8B",0.633277674345093,0.163376755911849
"abacusai/bigyi-15b",-1.23588994060857,0.165203533871823
"AA051610/C0318-G",1.06570976921892,0.19797385455571
"jondurbin/airoboros-l2-13b-2.2.1",-1.89807593928028,0.216344633827121
"chihoonlee10/T3Q-Mistral-UB-DPO-v1.0",0.758081928234782,0.173173817121686
"KnutJaegersberg/Qwen-1_8B-Llamafied",-0.925890192203961,0.154812311602405
"aqweteddy/mistral_tv-neural-marconroni",0.895266780715775,0.183895277361203
"ChaoticNeutrals/Eris_7B",0.842910670039568,0.179396186080832
"Enno-Ai/vigogne2-enno-13b-sft-lora-4bit",-3.28121650342953,0.453120101836395
"Mr-Bhaskar/fbt-gemma-7b",-1.06505133754386,0.164947976516895
"EmbeddedLLM/Mistral-7B-Merge-14-v0.3-ft-step-9984",-1.00847216227901,0.155864159299649
"fzzhang/Marcoroni-neural-chat-7B-v2_gsm8k_quantized_mergedfloat_s",0.289518873435075,0.150820703150655
"allknowingroger/ANIMA-biodesign-7B-slerp",-0.807497480714545,0.143709900629431
"ajibawa-2023/Scarlett-Llama-3-8B-v1.0",-0.246674711398506,0.139096152559341
"freecs/ThetaWave-7B",0.174427763924104,0.144533640952609
"CultriX/OmniTrixAI",1.33334134038449,0.196783498619378
"upstage/SOLAR-0-70b-16bit",-0.156291169391756,0.14077617946129
"OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16",-0.723033618996394,0.160816414076279
"WebraftAI/synapsellm-7b-mistral-v0.3-preview",-0.925406773816099,0.149029415623141
"EmbeddedLLM/Mistral-7B-Merge-14-v0.4",1.12404266794905,0.201360754392359
"OpenBuddy/openbuddy-deepseek-67b-v18.1-4k",0.807268368157687,0.177567811652996
"ewqr2130/llama2-ppo",-3.28121650342953,0.453120101836395
"prince-canuma/Damysus-2.7B-Chat",-0.367447021585666,0.141584861658942
"zhengr/MixTAO-7Bx2-MoE-Instruct-v4.0",0.883689294092245,0.187938072841992
"kyujinpy/PlatYi-34B-Llama-Q-v3",-1.93819734388038,0.224687023579288
"yaojialzc/Gigi-Llama3-8B-Chinese-zh",0.436930839914537,0.152032743163706
"paulml/OGNO-7B",1.30776638950268,0.199124118849139
"mychen76/mistral-7b-merged-dare",1.157893462225,0.202426523355189
"Eric111/Mayoroya",1.27544812915036,0.201534859896077
"migtissera/Tess-2.0-Llama-3-70B",1.15066570068312,0.202529637699375
"jsfs11/RandomMergeNoNormWEIGHTED-7B-DARETIES",1.18951954771297,0.203513338526449
"facebook/xglm-1.7B",-3.28121650342953,0.453120101836395
"abideen/NexoNimbus-MoE-2x7B",0.309461397404767,0.14951286895211
"MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.1",0.902474747096621,0.185047010965259
"giraffe176/WestMaid_HermesMonarchv0.1",0.996428179776009,0.191607100191067
"macadeliccc/piccolo-8x7b",0.912394912946059,0.18579646572744
"louisbrulenaudet/Pearl-34B-dare",0.45044188692403,0.153272828564763
"ppopiolek/tinyllama_merged_test",-3.17454169289045,0.462279432318884
"liuxiang886/llama2-70B-qlora-gpt4",-0.707682530749047,0.153163463717596
