split,group,num_samples,accuracy
val,male,4765,0.893389296956978
val,female,5891,0.9029027329825157
val,LGBTQ,1457,0.8043925875085792
val,christian,4550,0.9279120879120879
val,muslim,2110,0.8165876777251185
val,other_religions,986,0.8620689655172413
val,black,1652,0.7826876513317191
val,white,2867,0.7760725497035228
val,ALL,45180,0.9216024789729969
test,male,14295,0.8891920251836306
test,female,16449,0.899446774879932
test,LGBTQ,4426,0.7962042476276547
test,christian,13361,0.9214130678841405
test,muslim,6982,0.8272701231738757
test,other_religions,3500,0.8834285714285715
test,black,4872,0.7807881773399015
test,white,7969,0.7985945538963484
test,ALL,133782,0.9209310669596806
