V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('A', 's')]; S_plus:('r', 'B'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('A', 's')]; S_plus:('r', 'B'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('A', 's')]; S_plus:('r', 'B'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('A', 's')]; S_plus:('P', 'B', 'D'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('A', 's')]; S_plus:('P', 'B', 'D'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('A', 's')]; S_plus:('P', 'B', 'D'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('P', 'Q'), ('A', 's')]; S_plus:('r', 'B', 'Q'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('P', 'Q'), ('A', 's')]; S_plus:('r', 'B', 'Q'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('P', 'Q'), ('A', 's')]; S_plus:('r', 'B', 'Q'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's')]; S_plus:('P', 'Q', 'B', 'D'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's')]; S_plus:('P', 'Q', 'B', 'D'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's')]; S_plus:('P', 'Q', 'B', 'D'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('P', 'R'), ('A', 's')]; S_plus:('r', 'B', 'R'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('P', 'R'), ('A', 's')]; S_plus:('r', 'B', 'R'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('P', 'R'), ('A', 's')]; S_plus:('r', 'B', 'R'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'R'), ('A', 's')]; S_plus:('P', 'B', 'D', 'R'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'R'), ('A', 's')]; S_plus:('P', 'B', 'D', 'R'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'R'), ('A', 's')]; S_plus:('P', 'B', 'D', 'R'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's')]; S_plus:('D', 'R', 'Q', 'B'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's')]; S_plus:('D', 'R', 'Q', 'B'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's')]; S_plus:('D', 'R', 'Q', 'B'); T_star:[('A', 'X')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('B', 's')]; S_plus:('r', 'A'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('B', 's')]; S_plus:('r', 'A'); T_star:[('B', 'D')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('B', 's')]; S_plus:('P', 'A', 'D'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('B', 's')]; S_plus:('P', 'A', 'D'); T_star:[('B', 'D')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('P', 'Q'), ('B', 's')]; S_plus:('r', 'A', 'Q'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('P', 'Q'), ('B', 's')]; S_plus:('r', 'A', 'Q'); T_star:[('B', 'D')]
