V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's')]; S_plus:('B', 'D', 'Q', 'P'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's')]; S_plus:('B', 'D', 'Q', 'P'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('A', 's')]; S_plus:('B', 'D', 'Q', 'P'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'R'), ('A', 's')]; S_plus:('B', 'D', 'P', 'R'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'R'), ('A', 's')]; S_plus:('B', 'D', 'P', 'R'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'R'), ('A', 's')]; S_plus:('B', 'D', 'P', 'R'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's')]; S_plus:('B', 'D', 'Q', 'R'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's')]; S_plus:('B', 'D', 'Q', 'R'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('A', 's')]; S_plus:('B', 'D', 'Q', 'R'); T_star:[('A', 'X')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('B', 's')]; S_plus:('A', 'D', 'Q', 'P'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('B', 's')]; S_plus:('A', 'D', 'Q', 'P'); T_star:[('B', 'D')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'R'), ('B', 's')]; S_plus:('A', 'D', 'P', 'R'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'R'), ('B', 's')]; S_plus:('A', 'D', 'P', 'R'); T_star:[('B', 'D')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('B', 's')]; S_plus:('A', 'D', 'Q', 'R'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 'D'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('B', 's')]; S_plus:('A', 'D', 'Q', 'R'); T_star:[('B', 'D')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'Q'); T_star:[('D', 'A')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'Q'); T_star:[('D', 'B')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'Q'); T_star:[('D', 'X')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('r', 'D')]; S_plus:('P', 'A', 'B', 'Q'); T_star:[('D', 'Y')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('A', 'B', 'P', 'R'); T_star:[('D', 'A')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('A', 'B', 'P', 'R'); T_star:[('D', 'B')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('A', 'B', 'P', 'R'); T_star:[('D', 'X')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'R'), ('r', 'D')]; S_plus:('A', 'B', 'P', 'R'); T_star:[('D', 'Y')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('A', 'B', 'Q', 'R'); T_star:[('D', 'A')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('A', 'B', 'Q', 'R'); T_star:[('D', 'B')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('A', 'B', 'Q', 'R'); T_star:[('D', 'X')]
V_star:['D']; S_minus:[('A', 's'), ('B', 's'), ('s', 'r'), ('r', 'P'), ('P', 'Q'), ('P', 'R'), ('r', 'D')]; S_plus:('A', 'B', 'Q', 'R'); T_star:[('D', 'Y')]
