Category,Solvent,SMILES,Ranking_default,Ranking_after_discussion
Water,Water,O,Recommended,Recommended
Alcohol,MeOH,CO,Recommended,Recommended
Alcohol,EtOH,CCO,Recommended,Recommended
Alcohol,i-PrOH,CC(O)C,Recommended,Recommended
Alcohol,n-BuOH,CCCCO,Recommended,Recommended
Alcohol,t-BuOH,CC(C)(C)O,Recommended,Recommended
Alcohol,Benzyl alcohol,C1=CC=C(C=C1)CO,Recommended,Recommended
Alcohol,Ethylene glycol,OCCO,Recommended,Recommended
Alcohol,"1,2-Propanediol",CC(O)CO,Problematic,
Alcohol,Glycerol,C(C(CO)O)O,Problematic,
Alcohol,i-Amyl alcohol,CCC(C)CO,Recommended,
Alcohol,i-Butanol,CC(C)CO,Recommended,
Ketone,Acetone,CC(=O)C,Problematic,Problematic
Ketone,MEK,CCC(=O)C,Problematic,Problematic
Ketone,MIBK,CC(C)CC(=O)C,Recommended,Recommended
Ketone,Cyclohexanone,C1CCC(=O)CC1,Problematic,Problematic
Ester,Methyl acetate,CC(=O)OC,Problematic,Problematic
Ester,Ethyl acetate,CC(=O)OCC,Problematic,Problematic
Ester,i-PrOAc,CC(=O)OC(C)C,Recommended,Recommended
Ester,i-Butyl acetate,CC(=O)OCCC(C)C,Recommended,
Ester,Ethyl lactate,CCOC(=O)C(O)C,Problematic,
Ester,Diethyl succinate,CCOC(=O)CCC(=O)OCC,Problematic,
Ester,γ-Valerolactone,O=C1CCC(=O)O1,Problematic,
Ester,Glycol diacetate,CC(=O)OCCOC(=O)C,Problematic,
Ether,Diethyl ether,CCOCC,Hazardous,HH
Ether,MTBE,CC(C)(C)OC,Hazardous,Hazardous
Ether,THF,C1CCOC1,Problematic,Problematic
Ether,Me-THF,CC1COCC1,Problematic,Problematic
Ether,"1,4-Dioxane",C1COCCO1,Hazardous,Hazardous
Ether,Anisole,COC1=CC=CC=C1,Problematic,Hazardous
Ether,DME,COCCOC,Hazardous,Hazardous
Ether,CPME,CC1COC(C)C1,Problematic,
Ether,ETBE,CCOC(C)C,Problematic,
Hydrocarbon,Pentane,CCCCC,Hazardous,Hazardous
Hydrocarbon,Hexane,CCCCCC,Hazardous,Hazardous
Hydrocarbon,Heptane,CCCCCCC,Hazardous,Hazardous
Hydrocarbon,Cyclohexane,C1CCCCC1,Problematic,Problematic
Hydrocarbon,Me-cyclohexane,CC1CCCCC1,Problematic,Problematic
Hydrocarbon,Benzene,C1=CC=CC=C1,Hazardous,HH
Hydrocarbon,Toluene,CC1=CC=CC=C1,Problematic,Problematic
Hydrocarbon,Xylenes,CC1=CC=CC=C1C,Problematic,Problematic
Hydrocarbon,p-Cymene,CC1=CC=C(C=C1)C(C)C,Problematic,
Hydrocarbon,d-Limonene,CC1=CCC(C(C)C)CC1(C)C,Problematic,
Hydrocarbon,Turpentine,CC1=CCC(CC1)C(C)C,Problematic,
Halogenated,DCM,ClCCl,Hazardous,Hazardous
Halogenated,Chloroform,ClC(Cl)Cl,Hazardous,HH
Halogenated,CCl4,C(Cl)(Cl)(Cl)Cl,Hazardous,HH
Halogenated,DCE,ClCCCl,Hazardous,Hazardous
Halogenated,Chlorobenzene,ClC1=CC=CC=C1,Hazardous,Hazardous
Aprotic polar,Acetonitrile,CC#N,Recommended,Problematic
Aprotic polar,DMF,CN(C)C=O,Hazardous,Hazardous
Aprotic polar,DMAc,CN(C)C=O,Hazardous,Hazardous
Aprotic polar,NMP,O=C1CCN(C)C(=O)C1,Hazardous,Hazardous
Aprotic polar,DMPU,O=C(N1CCOCC1)N1CCOCC1,Problematic,Problematic
Aprotic polar,DMSO,CS(=O)C,Recommended,Problematic
Aprotic polar,Sulfolane,O=S1(=O)CCCC1,Problematic,Problematic
Aprotic polar,HMPA,O=P(N(CH3)2)3,Hazardous,HH
Aprotic polar,Dimethyl carbonate,COC(=O)OC,Recommended,
Aprotic polar,Ethylene carbonate,O=C1OCCO1,Problematic,
Aprotic polar,Cyrene,O=C1CCC2C1CCC2O,Problematic,
Miscellaneous,Methoxyethanol,COCCO,Problematic,Problematic
Miscellaneous,Carbon disulfide,CS2,Hazardous,HH
Miscellaneous,Lactic acid,CC(O)C(=O)O,Problematic,
Miscellaneous,TH-furfuryl alcohol,C1=COC=C1CO,Hazardous,
Acid,Formic acid,C(=O)O,Problematic,Problematic
Acid,Acetic acid,CC(=O)O,Problematic,Problematic
Acid,TFA,FC(F)(F)C(=O)O,Hazardous,Hazardous
Amine,Pyridine,C1=CC=NC=C1,Recommended,Hazardous
Amine,TEA,CCN(CC)CC,Problematic,Problematic
