0x418700,0x28e837c85700
0x418776,0x28e837c87a00
0x418a82,0x28e837c85a82
0x418a43,0xfdfd3a8c7a00
0x418a2c,0xfdfd3a8d1340
0x418a2c,0xfdfd3a8d1380
0x4189ef,0xfdfd3a8c5a80
0x418a33,0xfdfd3a8c8b80
0x418abe,0x28e837c87c40
0x4189c3,0xfdfd3a8cbc80
0x418a43,0xfdfd3a8c7c40
0x418a43,0xfdfd3a8c7cc0
0x418abe,0x28e837c87cc0
0x418a82,0x28e837c87200
0x418dcc,0xfdfd3a8d25c0
0x418d9d,0xfdfd3a8c1c40
0x4190db,0xfdfd3a8d1c40
0x4190e8,0xfdfd3a8d6c00
0x419289,0xfdfd3a8dbd80
0x4191b9,0xfdfd3a8d2e80
0x419172,0xfdfd3a8d9f80
0x4190db,0xfdfd3a8d1e00
0x4191b9,0xfdfd3a8d2ec0
0x4192a2,0xfdfd3a8c3100
0x4179a9,0xfdfd3a8e5100
0x417b1c,0xfdfd3a8dbf40
0x417b11,0xfdfd3a8ec640
0x417b1c,0xfdfd3a8dc500
0x417a75,0xfdfd3a8ed7b8
0x417b1c,0xfdfd3a8ddc40
0x419f85,0xfdfd3a8d4f85
0x41a1c3,0xfdfd3a8f31c3
0x41a33b,0x28e837c87280
0x41a1c3,0xfdfd3a8f1e00
0x41a242,0xfdfd3a8f2e80
0x41a242,0xfdfd3a8f2ec0
0x41a1c3,0xfdfd3a8f5100
0x41a542,0xfdfd3a8f3542
0x417c43,0xfdfd3a8e1c43
0x417e28,0xfdfd3a8e01a8
0x418103,0x28e837c85103
0x418283,0xfdfd3a8c2740
0x418253,0xfdfd3a8c23c0
0x418236,0xfdfd3a8e08c0
0x41813d,0xfdfd3a8de500
0x418305,0x28e837c85305
0x4189c9,0xfdfd3a8ccda0
0x418a6b,0xfdfd3a8d0f80
0x418a00,0xfdfd3a8cdfc0
0x4189ef,0xfdfd3a8f9100
0x418a89,0xfdfd3a9010c0
0x417b1c,0xfdfd3a8e7a00
0x417b1c,0xfdfd3a8eb380
0x417b1c,0xfdfd3a8eb540
0x417b1c,0xfdfd3a903100
0x41a184,0xfdfd3a8f5240
0x417e37,0xfdfd3a8e0988
0x418144,0xfdfd3a8debc0
0x418325,0xfdfd3a8ded40
0x4183e4,0xfdfd3a8e0d40
0x4189d7,0xfdfd3a900180
0x418a89,0xfdfd3a901180
0x4189c3,0xfdfd3a8f6400
