_id	data_resolution	location_distribution	owner	place_name	polygon
50e5e9c1d7c3df413b000000	500	randomly	deepak.jagdish@gmail.com	Amsterdam	4.840850830078125,52.373083994540266,4.8429107666015625,52.39194436914111,4.87518310546875,52.393620456994476,4.917755126953125,52.37853337476041,4.96856689453125,52.36176390234046,5.005645751953125,52.32233057845825,4.9472808837890625,52.28202194280847,4.8456573486328125,52.303440474272755
50e5ec46d7c3df413b000062	500	randomly	deepak.jagdish@gmail.com	Barcelona	2.297515869140625,41.47771800887873,2.250823974609375,41.47668911274525,2.1478271484375,41.44066745847658,2.109375,41.410805789669816,2.022857666015625,41.38814294931545,2.010498046875,41.31288691435732,1.91162109375,41.25612970800976,2.121734619140625,41.28090255982089,2.1917724609375,41.36238012945531
50e5ef31d7c3df413b000178	500	randomly	deepak.jagdish@gmail.com	Belo Horizonte	-44.051055908203125,-19.91202911100831,-44.053802490234375,-19.910737914667816,-44.05174255371094,-19.907509877707287,-44.056549072265625,-19.899116673391834,-44.05174255371094,-19.892660059507012,-44.042816162109375,-19.88426606784976,-44.015350341796875,-19.868122526152177,-44.03800964355469,-19.877808848505904,-44.00299072265625,-19.850039807906715,-43.96110534667969,-19.81063818250419,-43.89862060546875,-19.818390093844958,-43.883514404296875,-19.899116673391834,-43.91029357910156,-19.94624197170976,-43.96247863769531,-19.995934238524686,-44.04693603515625,-19.96431369884086
50e5f168d7c3df413b000279	500	randomly	deepak.jagdish@gmail.com	Boston	-71.18728637695312,42.377314613944506,-71.17698669433594,42.39861509367515,-71.07536315917969,42.259016415705766,-71.02523803710938,42.313369811689746,-71.048583984375,42.32555478840499,-71.03416442871094,42.343320316410804,-71.01905822753906,42.374778361114195,-70.99159240722656,42.36970554816487,-70.95726013183594,42.344842842441935,-70.97305297851562,42.35702172331311,-70.9716796875,42.39050147746088,-71.00326538085938,42.425990803955095,-71.0650634765625,42.43004544849287,-71.12274169921875,42.420415239489934,-71.14059448242188,42.409262623071186,-71.16668701171875,42.40622065620649,-71.17561340332031,42.40013627993722,-71.07536315917969,42.256983603767466,-71.17561340332031,42.33672227754668
50e5f30fd7c3df413b000303	1000	randomly	deepak.jagdish@gmail.com	Chicago	-87.71621704101562,41.74160260664951,-87.5445556640625,41.74160260664948,-87.59674072265625,41.81840820614331,-87.58026123046875,41.80203073088394,-87.61184692382812,41.88592102814744,-87.63519287109375,41.94212727375355,-87.62557983398438,41.91045347666418,-87.64755249023438,41.97072234792809,-87.81784057617188,41.96765920367821,-87.813720703125,41.740577910570785
50e5f69ed7c3df413b000377	500	randomly	deepak.jagdish@gmail.com	Denver	-104.86518859863281,39.776880380637024,-105.11032104492188,39.82752244475985,-105.11512756347656,39.74468219277038,-105.10414123535156,39.684468179576214,-104.864501953125,39.67918374111695
50e5f7c1d7c3df413b000495	250	randomly	deepak.jagdish@gmail.com	Hong Kong	114.12220001220703,22.326576489662482,114.12872314453125,22.3424548401465,114.14932250976562,22.344042575753853,114.17678833007812,22.34563029327697,114.20700073242188,22.351028397571742,114.2354965209961,22.324353376348224,114.24613952636719,22.306567194930622,114.22004699707031,22.28655503294358,114.1970443725586,22.27352970576418,114.19120788574219,22.26304502477878,114.13627624511719,22.28750805802536
50e5f937d7c3df413b0005b3	500	randomly	deepak.jagdish@gmail.com	Kiev	30.60516357421875,50.49595785216966,30.518646240234375,50.49421062933563,30.442428588867188,50.48241518483704,30.432815551757812,50.43126756156562,30.48980712890625,50.40589182397226,30.526199340820312,50.40501655606602,30.609283447265625,50.39232335474891,30.655975341796875,50.40501655606602
50e5fad8d7c3df413b00063c	250	randomly	deepak.jagdish@gmail.com	Kyoto	135.81024169921875,35.05922870088872,135.7971974345703,34.97375095431689,135.71685991015624,34.972625651697065,135.70587358203124,35.02381126619445,135.72715759277344,35.04011643687423,135.7470703125,35.0766506904491
50e5fc32d7c3df413b000788	500	randomly	deepak.jagdish@gmail.com	Lisbon	-9.0802001953125,38.84559050700921,-9.098052978515625,38.730518551491635,-9.134445190429688,38.70265930723801,-9.334945678710938,38.68068570907942,-9.298553466796875,38.76746885907018,-9.260787963867188,38.77389304718157,-9.232635498046875,38.81349608855617,-9.179763793945312,38.85575072276977
