"Model_Name","Theta_ATLAS","SE","Num_Items","Time_Taken_Sec"
"namespace-Pt/Llama-3-8B-Instruct-80K-QLoRA",0.256767377732025,0.0996911990485796,49,3.28620982170105
"mlabonne/Beyonder-4x7B-v3",1.26140083959449,0.0998508019238148,104,2.68465113639832
"Evillain/StarDust_20B_v0.2",-1.03997923144312,0.0997869029055075,62,1.37191915512085
"leveldevai/BeagleMist-7B",1.30596340964525,0.0998280052257897,111,2.51775360107422
"cookinai/DonutLM-v1",0.721046146558388,0.0992425603741256,40,0.984256505966187
"kwchoi/DPO_mistral_7b_ultra_0124_v1",-0.777995151344548,0.0998562604107211,62,1.29895901679993
"EmbeddedLLM/Mistral-7B-Merge-14-v0.2",0.992698001576093,0.0994186723960163,58,3.5865216255188
"soniox/Soniox-7B-v1.0",0.241809292886948,0.0991084727765617,44,1.71822905540466
"ibivibiv/multimaster-7b-v6",1.2226991016391,0.0999968769315894,98,2.99867606163025
"Isaak-Carter/J.O.S.I.E.3-Beta10-7B-slerp",0.367913183279538,0.0999065954337358,46,0.974156856536865
"JaeyeonKang/CCK_Asura_v1",0.415036018860738,0.0993465170588067,45,2.2026469707489
"giraffe176/WestLake_Noromaid_OpenHermes_neural-chat",0.583018642414912,0.0999477987628709,43,3.99259805679321
"xDAN-AI/xDAN-L1-Chat-RL-v1",0.140125008081866,0.099907953190092,44,0.966075658798218
"Nhoodie/Meta-Llama-3-8B-Uninstruct-function-calling-json-mode-model_stock-v0.1",0.613883978427139,0.0996414748465375,44,2.18407464027405
"abacusai/MM-OV-bagel-DPO-34b-c1000-250",0.757931236800908,0.0994693620823016,37,0.813714265823364
"Changgil/K2S3-Mistral-7b-v1.46",-0.491379715404973,0.0997546021837521,59,1.27217125892639
"Test157t/Echidna-7b-128k",0.0923042984940226,0.099514321184007,45,0.969460248947144
"netcat420/MFANNv0.2",-0.579501751925366,0.0998933903858046,59,1.18436717987061
"CohereForAI/c4ai-command-r-plus",-0.0389265439541992,0.0997727812889924,51,2.06727600097656
"ZhangShenao/0.001_idpo_declr_4iters_iter_4",-1.0242703117776,0.0994676208986234,61,4.96749591827393
"Ppoyaa/Lumina-5.5-Instruct",0.414822483807144,0.0991680826378464,49,1.98808574676514
"ajibawa-2023/General-Stories-Mistral-7B",0.468685669868507,0.0995060049639636,45,2.39495182037354
"BTAgent/BTAgent-v0.1",-0.737157792784378,0.0996162246712384,63,1.37025332450867
"flammenai/flammen23-mistral-7B",0.832015530186531,0.0995594073392424,42,1.70996856689453
"perlthoughts/Chupacabra-7B",0.485923940963491,0.0992311547935033,46,2.86542510986328
"jingyeom/freeze_KoSoLAR-10.7B-v0.2_1.4_dedup",-0.771529801160906,0.0999586282512456,60,1.27026891708374
"Eric111/Snorkel-Mistral-PairRM-DPO-openchat-3.5-0106-laser",-0.0505416312511824,0.0992673063152184,48,1.98896384239197
"indischepartij/MiniCPM-3B-Bacchus",-0.0512291590867866,0.099328169845911,48,1.99119591712952
"abhishek/autotrain-mixtral-8x7b-orpo-v1",0.143035374894767,0.0996364838901799,46,0.992863416671753
"CultriX/MergeTrix-7B-v2",1.11686613609049,0.0985270173953358,82,2.48089575767517
"openthaigpt/openthaigpt-1.0.0-70b-chat",-0.684207676614068,0.0996735517518548,63,2.59993553161621
"LeroyDyer/SpydazWeb_AI_BASE_128k",-0.263630092106233,0.0997007657495739,50,1.58587074279785
"bn22/Nous-Hermes-2-SOLAR-10.7B-MISALIGNED",0.432535528417578,0.0992396913810616,47,0.994793891906738
"Danielbrdz/Barcenas-13b",-1.83347765753684,0.0996457652923944,112,5.66141867637634
"chatty123/mistral_rank8_packing",-0.504090807009226,0.0994218372696858,58,1.2841362953186
