"Model_Name","Theta_ATLAS","SE","Num_Items","Time_Taken_Sec"
"YeungNLP/firefly-zephyr-6x7b",-0.264423611390548,0.0995856747984932,45,1.64223217964172
"HanNayeoniee/LHK",-0.343520746075159,0.0995497844991796,64,2.2199878692627
"Weyaxi/Einstein-bagel-7B",0.253246722264001,0.0750305299208248,30,1.91976308822632
"ibivibiv/orthorus-125b-v2",0.212625025109013,0.0803677936145999,30,1.12034320831299
"yeontaek/llama-2-13B-ensemble-v3",-0.763643898059665,0.0999847461475796,85,2.1332221031189
"AGI-0/ThetaWave-7B-v0.1",0.23122497823663,0.0773580774719272,30,0.701811790466309
"Inv/Dykh-Tau-7B",-0.0356897246507197,0.0996080350553708,38,0.733724594116211
"LeroyDyer/Mixtral_AI_SwahiliTron_7b",-0.70520040769421,0.0995917251916541,68,2.19567966461182
"ResplendentAI/Paradigm_Shift_7B",0.577869596703183,0.0743078212395436,30,1.11508512496948
"AA051610/C0322-reft",-0.879073590526047,0.0997056514654258,86,4.19539999961853
"allknowingroger/ROGERphi-7B-slerp",0.502548658262252,0.066347796811195,30,0.924704313278198
"nisten/BigCodeLlama-92b",-1.50584705704512,0.0998899744116215,117,3.41783046722412
"macadeliccc/Monarch-7B-SFT",-0.0547690664271311,0.0991223037513405,37,1.33367347717285
"yleo/EmertonMonarch-7B",1.74153584339268,0.0999192405253378,141,3.93660688400269
"MSL7/INEX8-7B",2.43286204185612,0.219358081825739,500,18.4361989498138
"kyujinpy/Sakura-SOLAR-Instruct",0.408800658543708,0.0663179395792681,30,0.632686138153076
"azarafrooz/Mistral-7B-Instruct-v0.2-Selfplay-v0",-0.383183936542198,0.099875453745778,43,1.21427297592163
"dillfrescott/amadeus-v0.1",0.74042503582985,0.0584064566443209,30,0.825801372528076
"lodrick-the-lafted/Grafted-Hermetic-Platypus-D-2x7B",-0.594493952614779,0.099039332492485,50,1.7193546295166
"Josephgflowers/Cinder-Phi-2-V1-F16-gguf",-1.21373517985458,0.099904468556014,99,3.39571666717529
"ewqr2130/alignment-handbook-zephyr-7b_ppo_5e7step_102",-0.582821588296874,0.099304786811618,49,1.03933215141296
"kekmodel/StopCarbon-10.7B-v3",0.363423726579109,0.0685933103239931,30,1.1269838809967
"nextai-team/Moe-2x7b-QA-Code",0.246066190100821,0.0758217546404126,30,0.620207786560059
"freeCS-dot-org/ThetaWave-7B-v0.1",0.480972262504678,0.0710888960830224,30,0.632404088973999
"MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.1",-0.946741481304583,0.0998325954585305,84,3.42548036575317
"Kukedlc/NeuralSynthesis-7b-v0.4-slerp",2.37737241509231,0.208069294412516,500,16.2954096794128
"Muhammad2003/TriMistral-7B-SLERP",0.0639413786113442,0.0978902708262753,30,0.629031181335449
"FelixChao/ShadowNeural-7B-ORPO",0.497164456940658,0.065846043518938,30,1.62912201881409
"LTC-AI-Labs/L2-7b-Hermes-Synthia",-1.93955727775241,0.0998641528259259,198,7.72659039497375
"Yuma42/KangalKhan-RawEmerald-7B",0.408097560783074,0.0673637346638202,30,1.11990642547607
"Alsebay/Kilo-2x8B",-1.08219957286839,0.0999349903288302,95,2.03534340858459
"Radu1999/MisterUkrainianDPO",0.497716022737732,0.06773112661851,30,0.633414745330811
"core-3/kuno-royale-v3-7b",1.03798666065253,0.0634901856544506,30,0.589197158813477
"Stopwolf/Bumbar-7B-slerp",0.230966096256743,0.077064073511606,30,0.59091854095459
"raidhon/coven_7b_128k_orpo_alpha",0.249708378141352,0.0743807151177504,30,0.611171722412109
"EmbeddedLLM/Mistral-7B-Merge-14-v0.3-ft-step-9984",0.0605772499233243,0.0993847299556486,30,0.59321141242981
"rhysjones/Phi-3-mini-mango-1-llamafied",-0.833145135060158,0.0995694344987156,81,2.30632448196411
"bartowski/internlm2-chat-7b-sft-llama",-1.11006634796423,0.0999426774599945,92,3.12011218070984
"AA051612/A0123",-0.233014770430984,0.0998570871788879,44,1.78854012489319
