Layer,Feature,Sae Type,Sae Size,VocabProj Description,MaxAct Description,TokenChange Description,Ensemble Raw (VP+MA) Description,Ensemble Raw (MA+TC) Description,Ensemble Raw (VP+TC) Description,Ensemble Raw (All) Description,Ensemble Concat (All) Description,VocabProj Input Success,MaxAct Input Success,TokenChange Input Success,Ensemble Raw (VP+MA) Input Success,Ensemble Raw (MA+TC) Input Success,Ensemble Raw (VP+TC) Input Success,Ensemble Raw (All) Input Success,Ensemble Concat (All) Input Success,VocabProj Output Success,MaxAct Output Success,TokenChange Output Success,Ensemble Raw (VP+MA) Output Success,Ensemble Raw (MA+TC) Output Success,Ensemble Raw (VP+TC) Output Success,Ensemble Raw (All) Output Success,Ensemble Concat (All) Output Success
3,15596,mlp,16k,entrepreneurship and business opportunities.,terms related to undertaking or engaging in actions and responsibilities,"This neuron is associated with business-related terms and symbols, particularly focusing on entrepreneurship and financial aspects, as well as formatting and coding indicators.","Neuron 1 activates in response to gerunds or actions indicated by the term ""taking,"" producing outputs related to entrepreneurship, indicating it associates taking actions with entrepreneurial opportunities or initiatives.","this neuron is activated by gerunds or words ending in ""ing"" that indicate actions, and outputs formatting or programming markup associated with business or entrepreneurial contexts.",entrepreneurship and business opportunities.,"the main thing this neuron does is identify phrases related to entrepreneurship or business initiatives, and upon activation, it outputs terms associated with enterprise, opportunities, or business jargon.","entrepreneurship and business opportunities.
terms related to undertaking or engaging in actions and responsibilities
This neuron is associated with business-related terms and symbols, particularly focusing on entrepreneurship and financial aspects, as well as formatting and coding indicators.",True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False
24,14256,mlp,16k,"the concept of self, identity, and introspection, often exploring how individuals perceive and express themselves.", words associated with actions of division or separation,"This neuron is associated with the suffixes and morphemes of words, particularly focusing on forms that denote action or process, possibly linked to control or management processes.","this neuron is triggered by phrases containing a form of criticism or reprimand, as indicated by the word ""scold."" Once activated, it outputs terms related to various forms of action, particularly those associated with forms or processes ending in ""ing,"" suggesting a focus on ongoing actions or states.","Neuron 1 is triggered by words that convey a sense of reprimand or strong criticism, particularly those ending in ""ing"" like ""scolding"" and ""redirecting,"" and it outputs various forms of gerunds, suggesting a focus on actions or states that end in ""ing."" The outputs include terms that appear to be noise or programming jargon, indicating a less coherent thematic link.","self, personal identity, and the concept of individuality or existence.","Neuron 4 appears to be triggered by negative or critical language regarding political parties and associated actions, then it outputs terms related to action or processes, primarily involving endings like 'ing' or 'ting'. The neuron seems to focus on themes of criticism and political dynamics while generating expressions that reflect ongoing processes or conditions.","the concept of self, identity, and introspection, often exploring how individuals perceive and express themselves.
 words associated with actions of division or separation
This neuron is associated with the suffixes and morphemes of words, particularly focusing on forms that denote action or process, possibly linked to control or management processes.",True,False,False,True,True,False,False,False,False,True,True,True,True,False,True,False
6,11504,res,65k,"names or identifiers, potentially suggesting a list of individuals or entities, possibly in a database context.", xml attribute assignments,"This neuron is related to fighters, potentially in a context involving individuals or entities engaged in combat or competition, and includes names and terms that may reference specific fighters or fighting scenarios.","the main thing this neuron does is identify and process attributes related to XML or HTML tags, particularly those that specify data sources or link paths, and then outputs various data strings or identifiers commonly associated with these formats.","the main thing this neuron does is identify specific syntax elements in programming code, particularly related to the use of attributes within HTML or XML tags that start with ""="", and then outputs a variety of unrelated words and phrases, possibly indicating noise or irrelevant associations.",names of individuals and possibly fictional or literary references.,"the primary role of this neuron is to detect attributes related to XML attributes or similar syntaxes that include '=' characters, triggering upon their presence; its output largely consists of names, codes, and programming terms, suggesting it relates to parsing or structure definitions in a programming or markup language context.","names or identifiers, potentially suggesting a list of individuals or entities, possibly in a database context.
 xml attribute assignments
This neuron is related to fighters, potentially in a context involving individuals or entities engaged in combat or competition, and includes names and terms that may reference specific fighters or fighting scenarios.",False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,True
15,29038,res,65k,stars and celestial themes.,"references to ""star"" and its related forms or concepts","This neuron is associated with prominent individuals or entities, particularly in the context of ""stars"" and possibly within specific fields like medication or notable figures in certain professions.","the main thing this neuron does is find variations of the word ""Star"" in various forms (capitalized, lowercase, and in different languages), and then outputs a mix of related terms and some irrelevant noise, suggesting a focus on themes of stardom or celebrity.","the main thing this neuron does is respond to the presence of the word ""star"" and related variations, and then outputs related names or terms associated with ""star"" in various contexts, such as people, titles, or identifiers.","the concept of ""stars,"" encompassing both literal celestial bodies and metaphorical uses such as fame or notable individuals.","the main thing this neuron does is respond to the concept of ""star,"" as indicated by its strong activations with variations of the word ""star,"" and it outputs related terms that further emphasize the significance or prominence of stars in various contexts.","stars and celestial themes.
references to ""star"" and its related forms or concepts
This neuron is associated with prominent individuals or entities, particularly in the context of ""stars"" and possibly within specific fields like medication or notable figures in certain professions.",True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
17,1813,res,16k,meaningful and alternative solutions or representations.,words indicating skills and qualities related to service and professionalism,"This neuron is associated with trustworthiness and reliability, emphasizing the importance of dependable and credible solutions and experiences.","Neuron 1 primarily activates in response to engaging and entertaining content, especially in storytelling, and produces outputs related to helpfulness and meaningful solutions, indicating a focus on creating impactful narratives and user engagement.","the main thing this neuron does is identify attributes and qualities related to engaging, informative, and personalized services, and it outputs related terms emphasizing reliability and trustworthiness in providing solutions or experiences.",this vector is related to reliable alternatives and actionable solutions.,"Neuron 4 primarily activates in response to terms related to engaging, entertaining, and informative content. Once triggered, it outputs words associated with reliability, dependability, and effective communication, suggesting its role in identifying compelling narratives and ensuring they are presented in a trustworthy manner.","meaningful and alternative solutions or representations.
words indicating skills and qualities related to service and professionalism
This neuron is associated with trustworthiness and reliability, emphasizing the importance of dependable and credible solutions and experiences.",True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True
3,6263,mlp,65k,"the concepts of abuse, offenders, and legal terminology surrounding culpability and crime.", references to offenders and their sentencing in legal contexts,"This neuron is related to treatment and rehabilitation, particularly in the context of workplace environments and health issues such as menopause and osteoarthritis.","the main thing this neuron does is identify references to offenders in a legal context, and then outputs words related to criminality or guilt.","the main thing this neuron does is find terms related to offenders, particularly in a legal or criminal context, and then outputs a variety of terms that may relate to treatment, rehabilitation, or processes associated with offenders.",offenders and criminal behavior.,"the main trigger for this neuron is the mention of ""offenders,"" particularly related to legal contexts or consequences, and upon activation, it outputs various terms associated with crime, culpability, and rehabilitation, possibly indicating a focus on criminal justice themes.","the concepts of abuse, offenders, and legal terminology surrounding culpability and crime.
 references to offenders and their sentencing in legal contexts
This neuron is related to treatment and rehabilitation, particularly in the context of workplace environments and health issues such as menopause and osteoarthritis.",True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True
22,22629,mlp,65k,"this vector is related to concepts involving various elements and functionalities in programming or UI design, potentially focusing on rendering and layout features.",complex biological and mechanical systems involving regulation and control mechanisms,"This neuron is associated with diverse topics including gaming (specifically Minecraft), cryptography, and programming-related terms, suggesting a focus on technology, gaming culture, and possibly user interfaces or interactions.","Neuron 1 appears to activate in response to references to concepts of biological regulation, such as ""endocrine"" systems and ""metabolism,"" and outputs a diverse set of terms that seem unrelated or pertain to various programming and technical contexts. It primarily finds connections related to metabolic processes while creating associations with terms that are largely irrelevant to the main theme of biology or physiology.","the main thing this neuron does is find references to specific terms that indicate quantifiable mechanisms or factors, and then outputs a diverse array of unrelated words and terms, likely indicating noise or programming jargon rather than a cohesive theme.","the diverse and mixed concepts of coding, references, graphics, and various content types, suggesting a focus on programming and web development frameworks.","Neuron 4 appears to be triggered by inputs related to metabolic processes and factors affecting physiological systems, and once activated, it outputs a diverse assortment of terms that largely lack cohesion, suggesting it may process various unrelated concepts or technical jargon rather than conveying a specific, clear theme.","this vector is related to concepts involving various elements and functionalities in programming or UI design, potentially focusing on rendering and layout features.
complex biological and mechanical systems involving regulation and control mechanisms
This neuron is associated with diverse topics including gaming (specifically Minecraft), cryptography, and programming-related terms, suggesting a focus on technology, gaming culture, and possibly user interfaces or interactions.",False,True,False,True,True,False,True,True,True,True,True,False,False,True,False,False
2,13953,res,16k,surrounding and enclosing environments or areas., references to geographical or spatial contexts,"This neuron is related to the concept of surrounding or being enclosed, as well as the perception of taste and specific places or contexts.","the main thing this neuron does is detect the token ""surrounding,"" and then outputs words related to surrounding, encircling, or encompassing, often conveying proximity or inclusion.","the main thing this neuron does is identify the word ""surrounding,"" which is strongly activated across various contexts, and then outputs various terms that relate to the concept of surrounding or encircling, albeit with a mix of unrelated and coincidental terms.","the concept of surrounding, encircling, or encompassing areas or objects.","this neuron responds to the context of ""surrounding"" environments or circumstances, resulting in outputs that include words related to enclosure, borders, or surrounding areas. When triggered, it emphasizes the concept of being enveloped or enclosed in various contexts.","surrounding and enclosing environments or areas.
 references to geographical or spatial contexts
This neuron is related to the concept of surrounding or being enclosed, as well as the perception of taste and specific places or contexts.",True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True
1,25915,mlp,65k,interface elements and focus behaviors in user interface design.,"references to a ""second"" member or element in a context","This neuron appears to be connected to various programming and technical terms, alongside references to presentation or slide layouts, as well as elements related to water activities and locations.","Neuron 1 activates in response to mentions of the term ""second,"" particularly in contexts that discuss connections or relationships between members or components. It outputs a diverse selection of tokens related to focus, connections, and possibly programming or technical jargon, reflecting a theme of linking or distinguishing second entities in various scenarios.","The main thing this neuron does is find references to the word ""second,"" particularly in sequential or comparative contexts, and then outputs a variety of technical terms and phrases that seem unrelated, indicating possible noise or errant data in the association.","user interface components and their properties, particularly focusing on input and matching functionalities.","the main thing this neuron does is find instances of the word ""second"" as a trigger in various contexts, and then it outputs words related to technical or coding terminology, suggesting it may be involved in handling sequential logic or references in programming.","interface elements and focus behaviors in user interface design.
references to a ""second"" member or element in a context
This neuron appears to be connected to various programming and technical terms, alongside references to presentation or slide layouts, as well as elements related to water activities and locations.",False,True,False,True,True,False,True,True,True,False,False,False,False,False,True,False
25,27860,res,65k,"this vector is related to enhancing or adding final touches to something, often in the context of presentation or aesthetics.",expressions related to personalization and customization,"This neuron is related to the concept of touch or interaction, potentially in a programming or user interface context.","the main thing this neuron does is identify phrases that emphasize a personal touch or unique detail, especially in creative or customizing contexts, and then outputs words associated with adding flair or distinctiveness.","Neuron 1 primarily responds to phrases that mention personalization or distinctiveness in terms of design or style, signaled by words like ""personal"" and ""twist,"" and it outputs terms related to touch and subtle influences, indicating a focus on aesthetic enhancement or creative expression.","the concept of touch and various nuances associated with it, including tactile sensations, actions, and enhancements.","the main thing this neuron does is recognize when there is an emphasis on adding a personal touch or distinctive feature, and it outputs words related to touch or finishing details that enhance appearance.","this vector is related to enhancing or adding final touches to something, often in the context of presentation or aesthetics.
expressions related to personalization and customization
This neuron is related to the concept of touch or interaction, potentially in a programming or user interface context.",True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
