0,1,2,3,4
C[C@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1,C[C@@H](C(=O)O)c1ccc(c2ccccc2c1)c(F)c1ccccc1,C[C@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1,C[C@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1,C[C@@H](C(=O)O)c1ccc(cc2ccccc2)c(F)c1
C[C@@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1,C1(C(C(=O)O)c2ccc(cc2)c1c3ccc(F)c3)C,C[C@@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C,C[C@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1,C[C@@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1
C[C@@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1,C[C@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1,C1CC(=O)C(C(F)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C1)C,C[C@@H](C(=O)O)c1ccc(cc1)c2ccccc2c3ccccc3F,C[C@@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1
COc1ccc(NC2=NCc3cccc(-c4cnn(C)c4)c3C2)c(OC)c1,C1=CC=CC=C1Nc2ccc(cc2)C3=NC=CC4=C3Nc5c6ccccc6C(N(C(N(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,CC(=O)c1ccc(NC2=NCc3cccc(-c4cnn(C)c4)c3C2)c(OC)c1,COc1ccc(NC2=NCc3cccc(-c4cnn(C)c4)c3C2)c(OC)c1,C1CC[C@@H](C[C@H](N)C(=O)O)C[C@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1O
Nc1ccc(N)cc2ccccc12,Nc1nccc2ccccc12,Nc1ccc(ccc2c1)C2,C1CCC2C1CCC2,C1NCCC2CC3CC2C1
C[C@@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)c1,C[C@@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1ccccc1,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)c1,C[C@@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1
Nc1ncnc2c1ncn2C[C@@H](O)[C@@H](O)C(=O)O,C1Ncnc2c1ncn2C[C@H](O)[C@H](O)C(=O)O,C1cncnc1C[C@@H](O)[C@@H](O)C(=O)O,C1NC(=O)N(C(C(=O)O)C(=O)O)C1,C1=NC(=N)N=C1[C@@H](O)[C@@H](O)C(=O)O
C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)c1,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C,C[C@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1,C[C@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C
C[C@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)C,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)c1,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C
C[C@H](C(=O)O)c1ccc(cc2ccccc2)c(F)c1,C[C@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)F,C[C@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1,C[C@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1
C1c2c(ccc1C(=O)O)cc2c1ccc(cc1)Nc2ccccc2c3ccccc3F,C1c2ccccc2c1c3c(ccc3)Nc1ccc(cc1)C(F)C1c2ccccc2C(=O)O,C1c(cc2c(cc3c(ccc(cc3)cc2)C)c1)Nc1ccc(cc2)cc2Fc1C(=O)O,C1c2c(c(c(c(c1Nc2c(cc3c(ccc(cc3)c2)C(=O)O)F)C)C)C)C,CC1c2ccccc2Nc1c3ccccc3c4ccccc4C(=O)Oc5ccccc5F
C1c2c(ccc2c1c1ccccc1)c1ccc(cc1)Nc1ccccc1C(=O)OFCc1ccccc1,C1c(ccc2c1c(ccc2)c1ccc(cc1)Nc1ccc(cc2)cc2c1C(=O)O)F,C1c(ccc2c(ccc3c(ccc(cc3c2)C(=O)O)N)C)C(F)cc2cc1,C1c2ccccc2c1c3c(ccc3c4ccc(cc5ccccc5)cc4)nc2ccc(F)cc2c1C(=O)O,CC1c(cc2c(cc3c(cccc3c2)cc1)Nc1ccc(cc2)cc(F)c2cc1C(=O)O)C
C[C@@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1,C[C@@H](C(=O)O)c1ccc(cc1)c2ccccc2c3c(cccc3F)C,C[C@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)c1,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C
C1CCC1C(=O)Oc1ccc(cc1)c2ccc(cc2)F,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C,C[C@@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C,C[C@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1
