delta,method,balancedness_est_mean,all_mean,all_std,all_se,related_mean,related_std,related_se,outlier_mean,outlier_std,outlier_se,selected_q_mean
0.2,ARMUL,1.0000000000000004,0.04196232345258324,0.004500003284082146,0.0008215844358463731,0.0349474475674197,0.004873986633960479,0.0008898641414662765,0.10509620641905519,0.035499442203134765,0.006481281757835934,0.10000000000000003
0.2,DP,1.0000000000000004,0.045838817674957046,0.005482222935887476,0.0010009123890859228,0.03722868114355629,0.00474401541201178,0.0008661347514370055,0.1233300464575638,0.058960722640757066,0.010764705932382736,
0.2,ITL,1.0000000000000004,0.044168178079298355,0.004740128394042198,0.0008654250822958829,0.038407147034312916,0.00434870892759829,0.0007939619918898945,0.0960174574841674,0.029114657260285965,0.005315584845163394,
0.2,OURS,1.0000000000000004,0.0138708680061129,0.003912723909929206,0.0007143623822526792,0.002271213360048491,0.0017813582608224548,0.0003252300341502099,0.11826775982069257,0.03988176476982757,0.007281380732516463,14.266666666666667
0.4,ARMUL,1.0000000000000004,0.04290249296840896,0.004576491127808641,0.0008355491416410169,0.03602016121170064,0.004952579589418556,0.0009042131863214056,0.10484347877878362,0.03530981274324806,0.006446660313586778,0.10000000000000003
0.4,DP,1.0000000000000004,0.046957335949841215,0.005490077915527009,0.0010023465055983615,0.03852538061338251,0.004778566138619756,0.0008724428222174663,0.12284493397796958,0.05847444764245879,0.010675924670476487,
0.4,ITL,1.0000000000000004,0.04519730334172081,0.004805510916475115,0.0008773622430969149,0.03955061954811563,0.004403025607770096,0.0008038788155495251,0.0960174574841674,0.029114657260285965,0.005315584845163394,
0.4,OURS,1.0000000000000004,0.014089547462707635,0.003970765225426618,0.0007249592281744149,0.0023878514768841596,0.0017570722006204336,0.0003207960264816847,0.11940481133511888,0.03949191669414775,0.007210204537499857,13.466666666666667
0.8,ARMUL,1.0000000000000004,0.04497016719113487,0.004740309636679374,0.0008654581725228038,0.0383706851407475,0.005116416049426549,0.0009341254946174626,0.10436550564462116,0.034942125749739435,0.006379530160104801,0.10000000000000003
0.8,DP,1.0000000000000004,0.04948919838935496,0.0055308757527944815,0.0010097951375213014,0.041442580709224214,0.0048622728971765145,0.000887725515509858,0.1219087575105317,0.05751341926405726,0.010500465696725443,
0.8,ITL,1.0000000000000004,0.04745060211961149,0.004957543737384883,0.0009051195115947226,0.04205428485688305,0.004535926658359,0.0008281431166574178,0.0960174574841674,0.029114657260285965,0.005315584845163394,
0.8,OURS,1.0000000000000004,0.014718571773760932,0.004254284454795323,0.0007767225206449885,0.002892265681311962,0.001617428946357124,0.00029530077302720336,0.12115532660580162,0.040221989796433724,0.007343497039749792,14.266666666666667
1.6,ARMUL,1.0000000000000004,0.049765721427215324,0.005123220107982087,0.000935367740068614,0.04379415244094618,0.005517161646278103,0.0010072912956896184,0.1035098423036376,0.03425032364388623,0.006253224953869675,0.10000000000000003
1.6,DP,1.0000000000000004,0.055732226827363895,0.005740666035789793,0.0010480974276352764,0.04857218552566456,0.0051339263086822625,0.0009373224159448352,0.12017259854265798,0.05563883674306883,0.010158215319175356,
1.6,ITL,1.0000000000000004,0.05273739268757597,0.0053573736641583025,0.0009781181349478693,0.04792849659906582,0.004915341801488065,0.0008974145275076979,0.0960174574841674,0.029114657260285965,0.005315584845163394,
1.6,OURS,1.0000000000000004,0.01693992361765351,0.004288027586439529,0.0007828831454324544,0.004855601977309512,0.0012820133954690588,0.00023406255190739828,0.1256988183807495,0.0415345479438631,0.007583136274877878,14.4
3.2,ARMUL,1.0000000000000004,0.06188554393775261,0.005966127672024707,0.0010892609023079051,0.05741239592921986,0.006437592110543158,0.0011753381383205928,0.10214387601454748,0.03303822200434365,0.006031926483880853,0.10000000000000003
3.2,DP,1.0000000000000004,0.07293549793930751,0.006892065070513689,0.0012583131689712602,0.06801221365757294,0.00644602145197197,0.001176877118469084,0.11724505647491885,0.05209200715897154,0.009510655795563105,
3.2,ITL,1.0000000000000004,0.06643174587223753,0.006602321670419727,0.0012054135035980244,0.0631444445820231,0.006218049976630923,0.0011352554119650757,0.0960174574841674,0.029114657260285965,0.005315584845163394,
3.2,OURS,1.0000000000000004,0.02600147841968948,0.004855424791263749,0.0008864752281483226,0.013721289521659385,0.0019816035891182813,0.00036178966193109376,0.13652317850196027,0.04563356423615397,0.008331510837167513,14.0
