Molecule,Docking Score,QED Score,MW Score,Logp Score,RAD Score,SA Score,Label
CC(C)(C)c1ccc(-n2c(=O)c(=NOC(=O)c3ccccc3)c2=O)cc1,-9.4,0.5349287317534873,350.374,2.0435,2.3988641048482755,0.7601135895151725,0
CC(C)(C)c1ccc(C(=O)Nc2ccc(S(=O)(=O)Nc3ccc4c(C(F)(F)F)cc(C(=O)O)nc4c3)cc2)cc1,8.1,0.2493716469133286,571.5770000000002,6.302400000000005,2.5055355212609474,0.7494464478739052,0
Cc1nc2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,-7.3,0.43186159224485143,334.22499999999997,-1.2036800000000007,4.198428747805861,0.580157125219414,1
CCCCN(CCCC)c1ccc(C(=O)c2nc3ccccc3[nH]2)cc1Oc1ncccc1C1CCOC1,-6.8,0.20820414894776618,512.6540000000002,6.891700000000007,3.3281758361429805,0.667182416385702,0
CC(C)(C)OCCOCCOCCOCCOCCO,-5.1,0.47937288852426657,294.388,0.8602000000000007,2.4420251080681883,0.7557974891931811,0
C=CSC[C@H]1C=C(C(=O)O)N[C@H]1C(=O)O.CN1C(=O)[C@H]2C=C(SC2)[C@H]1C(=O)NCC(=O)O,-6.4,0.3074288754074293,485.54000000000025,-0.22109999999999858,5.785760015220798,0.4214239984779202,0
CC(C)(C)c1ccc(-c2nc3ccccc3[nH]2)cc1,-8.9,0.6751407534418719,250.345,4.527400000000004,1.7945438153193898,0.8205456184680611,0
CC(C)c1c(Cc2ccccc2)n(COCc2ccc(F)cc2)c(=O)[nH]c1=O,-9.4,0.6795191209094571,382.43500000000006,3.5642000000000014,2.3517713226568198,0.7648228677343181,0
CC1CCc2ccccc2C1(O)O,-7.3,0.5895386043029763,178.23099999999997,1.4062999999999999,2.9828774363127994,0.70171225636872,0
Cc1c(C(=O)OC2CCCCC2)oc(C(=O)O)c1O,-7.6,0.8172218900859965,268.26499999999993,2.4813200000000006,2.6483335589091332,0.7351666441090867,0
CCOc1ccc(S(=O)(=O)NCC(=O)NC)cc1,-6.8,0.7695060625743977,272.32599999999996,0.10959999999999992,1.8176995704189167,0.8182300429581083,0
CS[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C,-6.6,0.8224894911723939,281.341,0.4183,4.0371644502539255,0.5962835549746075,1
COc1cc(C(=O)O)cc(NC(C)=O)c1OC,-6.3,0.82818777496909,239.22699999999998,1.3603999999999998,1.8511773510713248,0.8148822648928675,0
Cc1oc(-c2ccccc2)nc1COc1ccc(C[C@H](NC(C)(C)C(=O)c2ccc(O)cc2)C(=O)O)cc1,-9.2,0.23410848633039083,514.5780000000002,5.181420000000004,3.0321809500994963,0.6967819049900503,1
CC(C)Oc1cc2c(-c3ccc(C(N)=O)cc3)cccc2cc1C(N)=O,-9.6,0.7385491507827371,348.4020000000001,3.4918000000000013,2.086456412540583,0.7913543587459417,0
C=C(C)c1ccc2c(c1)N=C(N)C(c1cccc(C3(O)CCCCC3)n1)N2,-9.3,0.7544652644409634,362.47700000000015,4.421900000000002,3.6559672944956416,0.6344032705504359,1
COCCOCCOCCOCCOC(C)C,-4.6,0.45817758697477706,250.33499999999995,1.1076000000000001,2.249688697225171,0.7750311302774829,0
CN1CCN(C(=O)c2nc3ccccc3c(=O)n2-c2ccc(C(C)(C)C)cc2)CC1,-8.8,0.6587159987274122,404.51400000000024,3.070800000000002,2.28187568108984,0.771812431891016,0
CC(C)(C)OC(=O)Nc1ccc(C(=O)Nc2ccncc2)cc1,-7.7,0.9054763549486966,313.357,3.680900000000002,1.793769821050759,0.8206230178949241,0
CCN(CC)C(=O)c1ccc(-c2nc3ccc(-c4cccs4)cc3[nH]2)cc1,3.4,0.5047841459064251,375.497,5.440400000000004,2.2015448967492652,0.7798455103250734,0
CC(C)C(=O)N[C@@H](C(=O)N1CCC[C@H]1c1nc2ccccc2s1)C1CCCC1,-9.4,0.8157009642456985,399.5600000000002,4.2908000000000035,3.111503897351427,0.6888496102648574,0
CC(C)(C)OC(=O)N1CCCC[C@H]1C(=O)NCc1ccc(-c2ccccc2)cc1,-9.2,0.8133535514185646,394.51500000000004,4.759400000000004,2.3657351594199447,0.7634264840580055,0
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,-7.3,0.26877979396934804,326.298,-4.369599999999997,4.3123389583872695,0.568766104161273,1
C=CC[C@@H](O)CC[C@@H](O)CC,-5.2,0.5746546996898846,158.24099999999999,1.4745,3.4527422327525716,0.6547257767247429,0
CN[C@@]1(O)Cc2ccccc2CC[C@H]1C,-7.9,0.5402570086088778,205.30099999999996,1.7193999999999996,3.439454856108064,0.6560545143891936,0
CC(C)(C)OC(=O)N1CCN(C(=O)c2ccc(O)c(C(=O)NCCCCn3ccnc3)c2)CC1,-7.3,0.599478852914478,471.55800000000033,2.4918000000000005,2.4366240074027736,0.7563375992597227,0
CC(=O)OP(=O)(O)O,-4.4,0.4856818953058855,140.031,-0.3578,3.0699520550112753,0.6930047944988724,0
Cc1c(O)c(O)c(O)c(Cl)c1C(=O)OC1CCCCC1,-8.2,0.5762593962000073,300.7380000000001,3.2547200000000016,2.6589773338529756,0.7341022666147025,0
C[S@@H](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O,-7.4,0.29781111034277896,400.4610000000001,-1.5392999999999983,4.744548196036557,0.5255451803963443,1
