0,1,2,3,4
O[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,OC1[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@H](O)O[C@H]2CO)[C@H](O)[C@H](O)[C@H]1O,OC1OC2O[C@H](O[C@H]3O[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@@H]2CO)C1O,C1OC[C@H]1O[C@H](O)C2(CO[C@H](O)C(CO[C@H](O)C(CO[C@H](O)C2)O)O)CO,C1OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
CC1=CC(F)=C(F)[C@H]2[C@]3(C(=S)C1)[C@@]14S[C@]1CC(F)=C(F)[C@@]24,C1=CC(F)=C(F)[C@H]2[C@]3(C(=S)C1)[C@@]14S[C@@H]1CC(F)=C(F)[C@@]24,C1=C(F)[C@H]2[C@]3(C(=S)C1)[C@@]14S[C@@H]1CC(F)=C(F)[C@@]24C,CC1=C(F)[C@H]2[C@]3(C(=S)C1)[C@@]14S[C@@H]1CC(F)=C(F)[C@@]24,C1=CC(F)C(F)C2(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C
C1CCCCCCC1,C1CCC(C(C1)O)C(O)C(O)C(O)C,C1CCCCC1OC1CCCCC1OC1CCCCC1,C1CCC1CCC1CCC1,C1CCC(C1)CCC(C1)CCC(C1)CCC(C1)CCC(C1)
C1OC(C(O)O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O,C1OC[C@H]1O[C@@H]1O[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](O)[C@H](O)[C@H]1O,C1OC(C(O)(O)C(O)(O)C(O)(O)C1O)C1OC(O)(O)C(O)(O)C(O)(O)C1O,C1OC[C@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,O[C@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O
C1OC1OC[C@H](O[C@@H]2O[C@H](O)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O,C1OC[C@H](O[C@@H]2O[C@H](O)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O,O[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C,C1OC[C@H](O[C@H]2O[C@H](O)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O,COC1OC[C@H](O[C@@H]2O[C@H](O)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O
C1OC2C(O)C(O)C(O)C(O)C(O)C(O)C(O)C1OC2OC(O)C(O)C(O)C(O)C(O)C1OC2OC(O)C(O)C(O)C(O)C(O)C1O,C1OC2OC(O)C(O)[C@H](O)C(O)C1OC2OC(O)C(O)[C@H](O)C(O)C1OC2OC(O)C(O)[C@H](O)C(O)C1OC2OC(O)C(O)C(O)C1OC2OC(O)C(O),C1(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,C1CO[C@H]2O[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]2O[C@H](O)O[C@H](O)C1O,C1(O)C2(O)C(O)C(O)C(O)C(O)C(O)C1(O)C2(O)O
C1C(O)C(O)C2C(O)C(O)C(O)C(O)C1OC2O,C1COCC(C(O)C1O)C2COCC(C2O)CO,C1COCC(O)C(O)C2COCC(O)C(O)C(O)(C(O)C1O)C2O,C1C(O)C(O)C2C(O)C(O)C(O)C(O)C1OCC2C(O)O,C1C(C(C(C(O)C2(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C1O)O)O
C1C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,C1OC(C(C(C(O)C2(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C1O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C1O,C1CC(O)C(C(O)C2(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C1O,C1OC(C)C(O)C(C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C1O,C1COCC(O)C(C(O)C2(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C1O
C1OC(C(O)C2OC(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C1O,C1OC(C(C(C(O)C2(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C(O))C1O),C1CCOC1OC(C(O)C2OC(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C1O,C1CCOC1OC(C(C(O)C2(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C1O)O,C1CC(O)C(C(O)C2(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C1O
C1CC(O)C(C(O)C2(C(C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O))O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C1O,C1C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,C1CC(O)C(C(O)C2(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C1O,C1CCOC1OC2C(C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C1O,C1OC(C(C(O)C2(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C2O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C1O)C1OC(C(O)C
