smile,docking_scores,QED,mw,logp,SAS,label
O=C(O)P(=O)(O)O,-4.199999809265137,0.42409517227108345,126.00399999999998,-0.1579000000000001,0.711024718270669,0
C=C(CCCO)CC[C@H](O)CCC,-1.2999999523162842,0.5707640358703407,186.29499999999996,2.2563000000000004,0.6817273882368518,0
COc1cc(N)c(C(=O)O)cc1OC,17.100000381469727,0.7057434556591722,197.19,0.9842,0.8250089476677924,0
O=C(O)c1ccc(C(=O)O)o1,3.200000047683716,0.6566366524935952,156.093,0.6759999999999999,0.7953220883861922,0
Nc1nc2cc(O)ccc2[nH]1,-2.299999952316284,0.5194193651444975,149.15299999999996,0.8506999999999998,0.7659482045836766,0
O=[N+]([O-])c1ccc(O)c(O)c1,-2.5999999046325684,0.3597463929416527,155.10899999999998,1.0059999999999998,0.8071658019140437,0
O=C(NCCc1cccs1)[C@H](O)[C@@H](O)C(=O)N1CCNCC1,15.199999809265137,0.5125868573668073,327.4060000000001,-1.4395999999999987,0.6841287411712569,0
CC1(C)S[C@]23[C@H](NC(=O)CCC[C@H](N)C(=O)O)[C@@]2(O)[C@@H]3[C@H]1C(=O)O,1000.0,0.4044825502704044,358.416,-0.6070999999999982,0.4861161344411542,0
Nc1nccc2ccccc12,-2.0999999046325684,0.6120847733236582,144.17699999999996,1.817,0.8323710240625848,0
O=C(O)c1ccccc1O,-4.5,0.6102585058580265,138.12199999999999,1.0903999999999998,0.857488960768346,0
Cn1cccc1CNCCC1=c2ccccc2=NC1,11.600000381469727,0.7911679398794779,253.349,0.9888999999999999,0.7040399957574384,0
OCCOCCO,-3.0,0.4512483454757534,106.121,-1.0124,0.7843826615905071,0
OCCOCCOCCOCCOCCO,0.6000000238418579,0.40232279111293295,238.27999999999994,-0.9625999999999986,0.7940087457876993,0
O=P(O)(O)OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,-1.0,0.28890913538834695,260.135,-3.1044000000000005,0.6089726528810901,0
OS(O)(O)CCCN1C=CC=CC1,1.399999976158142,0.6563908918118269,205.279,1.9856,0.6481791019221943,0
FC1=C(F)[C@H]2[C@]3(C(=S)C1)[C@@]14S[C@@H]1CC(F)=C(F)[C@@]243,1000.0,0.37643826997238033,290.306,3.9353000000000007,0.30917916145267094,0
OCCOCCOCCOCCOCCO,0.6000000238418579,0.40232279111293295,238.27999999999994,-0.9625999999999986,0.7940087457876993,0
NCCc1ccc(O)c(O)c1,-2.0,0.544872838506118,153.18099999999998,0.5989999999999998,0.8046853509856616,0
O=C(CP(=O)(O)O)NO,-4.400000095367432,0.22430515385313884,155.046,-1.3305000000000002,0.6881668496270947,0
