0,1,2,3,4
CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,CC1=CC=CC=C1C(C(F)(F)F)C(F)(F)FCC(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)C1=CC=CC=C1C1=CC=CC=C1C2=CC=CC=C2C3=CC=CC=C3C4=CC
C1CCC1(C(=O)C2=CC=CC=C2)N[C@@H](Cc3ccc(OCCc4c3c(ccc4)Nc5c6ccccc6cc5C)cc1)C(=O)O,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1
CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,C1CCC(C(=C\C=C\C(F)(F)F)C(F)(F)F)c1cccc(C(C(C(O)C(F)(F)F)C(F)(F)F)C1CCCCC1)C1CCCCC1,C1CCC(=C(C(=C(C(=O)C(F)(F)F)C(F)(F)F))C1)c1cccc(C(C)c2ccc(CO)c(CO)c2)c1,C/C(CC(=O)c1ccccc1)=N[C@H](Cc1ccc(OCCc2nc(c3ccccc3)oc2C)c1)C(=O)O,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(C(C)c2ccc(CO)c(CO)c2)c1
CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(C(C)c2ccc(CO)c(CO)c2)c1,C1CCC1/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(C(C)c2ccc(CO)c(CO)c2)c1,C1CCC1/C(=C/C=C/C(O)(C(F)(F)F)C(F)(F)F)C1cccc(C(C)c2ccc(CO)c(CO)c2)c1,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(C(C)c2ccc(CO)c(CO)c2)c1,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(C(C)c2ccc(CO)c(CO)c2)c1
C1CC1CC(=O)Nc2ccc(cc2)C(=O)CC(C)C[C@H](C)C(C)COC(=O)NC1CC(C)C1=O,C1CC(C)C2C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,CC(=O)Nc1ccc(cc1)C(=O)C2CCC(C(C)C)C2OC(=O)Nc3ccc(cc3)C(C)C/C=C/C(=O)Nc4ccc(cc4)C(C)C/C=C/C(=O)Nc5ccc(cc5)C(C)C,CC(=O)C1CCC2=C1C=CC=C2N=C3C=CC(=O)C3CC(C)C4=CC=CC=C4C(C)C(=O)N5C=CC(=O)C5C(C)C(=O)C(C)C(=O)O,CC(=O)Nc1ccc(cc1)C(C)C(C(=O)O)C(C)C(C(=O)O)C(C)C(C(=O)NC(=O)C)C(C)C(C(=O)O)C(C)C1CCC(C)(C)C(=O)NC(=O)C(C)C1O
CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21,CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21,CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21,CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21,CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21
C1CCC(C(=C(C(=C(C(=O)C(F)(F)F)C(F)(F)F))C1)c1ccc(cc1)C1CCC(C(=O)C1)C1ccc(cc1)C1CC(C(=O)C1)C1ccc(cc1)C1CCC(C(=O)C1)C1ccc,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,CC/C(=C\C=C\C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1
CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21,C1CC(C1)c1cccc(C(=C/C=C/C(O)(C(F)(F)F)C(F)(F)F)C2CCC2)c1)c1ccc(CO)c(CO)c1,CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21,CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21,CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21
CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21,CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21,CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21,CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21,CC(=O)C1CCc2c(N=C3C=CC(=O)C3CC(C)c3ccccc3C(C)C(=O)N3C=CC(=O)C3C(C)C(=O)C(C)C(=O)O)cccc21
C1CCC1C(=C\C(=O)C(F)(F)F)C(F)(F)F)c1cccc(C(C)c2ccc(CO)c(CO)c2)c1,CCc1ccc(cc1)C(C(=O)O)c1ccc(cc1)C(C(=O)O)c1ccc(cc1)C(C(F)(F)F)C(F)(F)FCCC1CCC2CC(C(F)(F)F)C(F)(F)F1,CC(c1cccc(C(C(=C/C=C/C(O)(C(F)(F)F)C(F)(F)F)C2CCC2)c1)c1ccc(CO)c(CO)c1)c1ccc(CO)c(CO)c1,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,C1CCC1/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(C(C)c2ccc(CO)c(CO)c2)c1
