0,1,2,3,4
Nc1ccccc1Nc2ccccc2,Nc1ccc(ccc12)N,Nc1nccc2ccccc12,Nc1nccc2ccccc12,Nc1nccc2ccccc12
C1cncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,C1Ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,C1NCCN1C2NCC1N2[C@@H]1OC(COP(=O)(O)O)[C@H]1OC[C@H]1O,C1c2ccccc2N1c1ccc(cc1)N2c1ccccc1N2[C@H]1O[C@H](COP(=O)(O)O)[C@H](O)[C@H]1O,CC1=NC=CC(=C1)N[C@H]1C(=O)O[C@H](COP(=O)(O)O)[C@H]1O[C@H]1C(=O)O[C@H]1O
O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,C1OC(CO)(O)[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,O=P(O)(O)OC1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,O=P(O)(O)OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,O=P(O)(O)OC1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
O=P(O)(O)OC1[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,O=P(O)(O)OC1[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,C1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O,C1OC(C(O)O)(O)C1OC1C(O)C(O)C(O)C(O)C1O,C1OC(C(=O)O)(C(=O)O)C(C(=O)O)(C(=O)O)C(=O)O1
C1COCC(O)C(O)C(OC2COC2(O)C(O)O)C(O)C1O,C1C(O)C(O)C(OC2COC2(O)C(O)O)C(O)C1O,C1COCC(O)C1OC2COC2(O)C(O)OC1C(O)C1O,C1COCC1OC1C(O)C(O)C(OC2COC2(O)C(O)O)C(O)C1O,C1COC(O)C(O)C(OC2COC2(O)C(O)O)C(O)C1O
C1OC([O-])([O-])[O-]C1OC1[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,C1OC(=O)O[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,C1(O)O[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,C1OC2C(O)C(O)C(O)C(O)C(O)C1O[P]2(O)(O)O,C1(=O)(O)[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O
C1OC([C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O)O,C1O[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,C1OC(C(O)(O)O)(C(O)(O)O)(C(O)(O)O)(C(O)(O)O)O1,C1OC([H])(O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,C1O[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O
C1OC[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,OC1OC[C@H](O)[C@@H](O)[C@H](O)[C@H]1O,C1OC(CO)(CO)(CO)CO1,O1CC2C(O)C(O)(C(O)C(O)C(O)2)O1,C1OC[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O
C1O[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,O1C[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,C1OC([C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O)O,C1O[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,C1O[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O
C1CCC1CC1(C(=O)Nc2c1cccc2)c1ccc(cc1)n1cnc1C(=O)Nc1ccc(C)cc1,C[C@H](O)[C@@H](CCc1cccc2ccccc12)n1cnc(C(N)=O)c1,C1CCC(C(C(C(C(=O)N1)C2=CC=CC=C2)C3=CC=CC4=C3C=CC(=C4)N)C5=CC=CC=C5)C6=NC=7C=CC(=C7)N6,C1CCC2(C(C(C(C(C1)C(=O)N2)C1=CC=CC=C1)C1=CC=CC=C1)C1=NC=NC=C1)C(=O)N1,C1CCC(C(C(=O)N1)C2=CC=CC=C2)C3=CC=CC=C3Nc1ccc(cc1)C(=O)N
