Molecule,Docking Score,QED Score,MW score,LogP Score,SA Score,Generated Source
O=S1(=O)N[C@H](O)c2ccc(-n3cc(CO[C@H]4O[C@H](CO)[C@H](O)[C@H]4O)nn3)cc21,-10.399999618530273,0.3515648310136636,414.39600000000013,-2.494299999999999,0.5514148712202588,repairer
CC1=CC(F)=C(F)S[C@@]2(CC(F)C2(C)C2C[C@@]3(C)SC(C)[C@H]23)C(=S)C1,-7.400000095367432,0.4540152670994629,404.58800000000014,6.564600000000006,0.35482873412251426,repairer
O=C1C(/C=C/C2C=NOC2)O[C@H](O)C2=C(NC3=C(NCCO)C(=O)N3C2)N(c2ccccc2)C1c1ccccc1,-2.799999952316284,0.37893921680653053,543.5800000000003,1.1170000000000004,0.4902734115740227,repairer
CC1CCC2CCC(CCCC2=O)CC1=O,-7.099999904632568,0.6306886258064457,222.32799999999995,3.1411000000000016,0.5259583651512522,repairer
C[C@]12CC[C@@H]3[C@@H]4CCC(=O)C[C@H](CC[C@H]3[C@@H]1CCC2=O)C4,-8.899999618530273,0.6702343996322836,288.43100000000004,4.167300000000004,0.5274161202243943,repairer
O=S1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)(O)C(O)C(O)C3)cc21,-11.899999618530273,0.14075070661849787,566.4980000000002,-6.072799999999991,0.3067195223977664,repairer
O=S1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)C(O)C3)cc21,-11.800000190734863,0.15607229630636807,520.4730000000002,-4.753699999999993,0.3159783129274297,repairer
O=S1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)(O)C(O)C3)cc21,-11.600000381469727,0.14939830040195065,536.4720000000002,-5.433699999999992,0.320514567246332,repairer
CC1=CC(F)=C(F)S[C@]2(CC(F)C2(C)C2C[C@]3(C)SC(C)[C@H]23)C(=S)C1,-7.800000190734863,0.4540152670994629,404.58800000000014,6.564600000000006,0.35482873412251426,repairer
CC1=C(F)C(C2(C3CC(C(F)F)C3(F)F)CC3(SC3C(F)F)C2C(F)F)C(F)(F)S1,-8.899999618530273,0.297505678291217,492.4189999999999,7.070400000000005,0.33777089498565643,repairer
O=S1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)C3)cc21,-10.5,0.17045317980795277,490.44700000000023,-4.114599999999996,0.3293464183589867,repairer
CC(=O)[SH]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)(O)C(O)C(O)C3)cc21,-11.0,0.10632231456657494,594.5520000000002,-5.92439999999999,0.2705428282885641,repairer
CC(=O)[SH]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)C(O)C3)cc21,-11.800000190734863,0.11664200610892622,548.5270000000002,-4.605299999999993,0.2778387005366856,repairer
CCC(=O)[S]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)C(O)C3)cc21,-9.899999618530273,0.15472974380496235,561.5460000000002,-3.9474999999999953,0.28829333414310143,repairer
CC(=O)[S]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)(O)C(O)C(O)C3)cc21,-10.100000381469727,0.13504525670086512,593.5440000000002,-5.65669999999999,0.2832007474021192,repairer
CC(=O)[SH]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)C(O)C(O)C(O)C3)cc21,-12.199999809265137,0.10427781384240391,608.5790000000003,-5.883499999999989,0.26519315702978463,repairer
CC(=O)[SH]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)C(O)C(O)C(O)C3)cc21,-9.899999618530273,0.11383977028833325,562.5540000000001,-4.564399999999991,0.2736621867335214,repairer
CC(=O)[SH]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)C(O)C(O)C3)cc21,-11.699999809265137,0.10955192633620267,578.5530000000002,-5.24439999999999,0.27141161414318626,repairer
CC(=O)[SH]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)C(O)C(O)C3)cc21,-8.899999618530273,0.12309247834683122,532.5280000000002,-3.9252999999999956,0.27909595748866317,repairer
CC(=O)[S]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)C(O)C3)cc21,-11.800000190734863,0.14921253158897524,547.5190000000001,-4.337599999999994,0.29204704714727203,repairer
O=S1(=O)N[C@H](O)C2=CC=C(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)(O)C(O)C(O)C3)C=C1O2,-9.899999618530273,0.1278039755668289,582.4970000000002,-6.66939999999999,0.23041008536409519,repairer
CC(=O)[S]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)C(O)C3)cc21,-11.300000190734863,0.1807379818767879,501.4940000000002,-3.0184999999999977,0.3005808184417349,repairer
CC(=O)[SH]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)C(O)C(O)C(O)C(O)C3)cc21,-11.300000190734863,0.1072456312343052,592.5800000000002,-5.203499999999989,0.2687302351468229,repairer
O=CC[S]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)C(O)C3)cc21,-9.899999618530273,0.1260725102075095,547.5190000000001,-4.685199999999992,0.2812653422521672,repairer
CCC(=O)[SH]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)(O)C(O)C(O)C3)cc21,-10.899999618530273,0.10998197486722038,608.5790000000003,-5.534299999999991,0.26734594469566203,repairer
O=CC[SH]1(=O)N[C@H](O)c2ccc(N3C=C4CO[C@H](O)C(O)(CN=N4)C(O)(O)C(O)(O)C(O)(O)C(O)C(O)C3)cc21,-9.899999618530273,0.08792599499777283,594.5520000000002,-6.271999999999989,0.2595324612389323,repairer
