Name,Address,gmap_id,description,Latitude,Longitude,category,Aggregate Rating,num_of_reviews,price,hours,MISC,City,state
USS Bullhead Memorial Park,"USS Bullhead Memorial Park, 1606 San Pedro Dr SE, Albuquerque, NM 87108",0x87220a4c6a93692d:0xe49d86e99d8dbcf6,"Green space with 7 soccer & 4 softball fields, play picnic & play areas, named for a WWII submarine.",35.0525592,-106.5768224,"['Park', 'Tourist attraction']",4.3,664,,"[['Thursday', '6AM??12AM'], ['Friday', '6AM??12AM'], ['Saturday', '6AM??12AM'], ['Sunday', '6AM??12AM'], ['Monday', '6AM??12AM'], ['Tuesday', '6AM??12AM'], ['Wednesday', '6AM??12AM']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Bataan Memorial Park,"Bataan Memorial Park, 748 Tulane Dr NE, Albuquerque, NM 87106",0x87220b4083bcc4a9:0x223676fcdcdcaaad,,35.088292,-106.6059217,"['Park', 'Tourist attraction']",4.4,365,,"[['Thursday', '6AM??10PM'], ['Friday', '6AM??10PM'], ['Saturday', '6AM??10PM'], ['Sunday', '6AM??10PM'], ['Monday', '6AM??10PM'], ['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Lazy Day Park,"Lazy Day Park, 3200 Lazy Day Dr SW, Albuquerque, NM 87121",0x8722126da64406ef:0xe3dd0d1566098ffe,,35.0268118,-106.7372857,"['Park', 'Picnic ground', 'Playground', 'Tourist attraction']",4.3,77,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Snow Park,"Snow Park, 9501 Indian School Rd NE, Albuquerque, NM 87112",0x87220aa68a032afd:0xc55becd143964b16,,35.1021279,-106.538296,"['Park', 'Tourist attraction']",4.4,218,,"[['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Kirtland Park,"Kirtland Park, 1408-1572 San Jose Ave SE, Albuquerque, NM 87106",0x87220c7920fde71b:0x829dd389ec3ec88,"Dog-friendly community park with a sheltered play area, paths & grassed areas.",35.0536765,-106.6322567,"['Park', 'Tourist attraction']",4.4,118,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Hyder Park,"Hyder Park, 700 Pershing Ave SE, Albuquerque, NM 87106",0x87220b73be14f245:0x482b11e830ec57f,,35.0699836,-106.6098582,"['Park', 'Tourist attraction']",4.6,466,,"[['Wednesday', '7AM??10PM'], ['Thursday', '7AM??10PM'], ['Friday', '7AM??10PM'], ['Saturday', '7AM??10PM'], ['Sunday', '7AM??10PM'], ['Monday', '7AM??10PM'], ['Tuesday', '7AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Marion L. Fox Memorial Park,"Marion L. Fox Memorial Park, Fox Memorial Park, Albuquerque, NM 87108",0x87220ae1efafcf93:0x7af41858e77bed7a,,35.0842539,-106.5811085,"['Memorial park', 'Tourist attraction']",4.4,178,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Lauren C. Boles Park,"Lauren C. Boles Park, 13121 Skyview Ave NE, Albuquerque, NM 87123",0x8718a0f74699c487:0xb9646860a152644b,,35.074107,-106.5007229,"['Park', 'Tourist attraction']",4.3,128,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Phil Chacon Park,"Phil Chacon Park, 7600 Southern Ave SE, Albuquerque, NM 87108",0x87220a5ef3cc521f:0xd200c6dbffe5e3ea,,35.066383,-106.5617217,"['Park', 'Tourist attraction']",3.8,277,,"[['Monday', '6AM??9PM'], ['Tuesday', '6AM??9PM'], ['Wednesday', '6AM??9PM'], ['Thursday', '6AM??9PM'], ['Friday', '6AM??9PM'], ['Saturday', '6AM??9PM'], ['Sunday', '6AM??9PM']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
Four Hills Park,"Four Hills Park, Running Water Cir SE, Albuquerque, NM 87123",0x8718a0c2411c349f:0x61cd8a6cf5dd3605,,35.0549273,-106.503382,"['Park', 'Tourist attraction']",4.7,88,,"[['Sunday', '6AM??10PM'], ['Monday', '6AM??10PM'], ['Tuesday', '6AM??10PM'], ['Wednesday', '6AM??10PM'], ['Thursday', '6AM??10PM'], ['Friday', '6AM??10PM'], ['Saturday', '6AM??10PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}",Albuquerque,New Mexico
